ingestion_time_utc,mapped_airline,live_flights,avg_velocity,avg_altitude,on_ground_count,airborne_count,prev_live_flights,count_change,target_anomaly,total_route_flights,distinct_departure_hubs,has_aviationstack_context,airborne_ratio,on_ground_ratio,predicted_anomaly,predicted_probability
2026-04-01T16:58:23.796243+00:00,Japan Airlines,9,177.47,8517.26,1,8,10.0,-1.0,0,23.0,8.0,1,0.8888888888888888,0.1111111111111111,0,0.1262283562547683
2026-04-01T16:58:23.796243+00:00,KLM,83,185.88,8001.2,5,78,87.0,-4.0,0,52.0,6.0,1,0.9397590361445785,0.0602409638554216,0,0.4803536748885687
2026-04-01T16:58:23.796243+00:00,Lufthansa,119,176.45,7423.91,10,109,113.0,6.0,1,34.0,6.0,1,0.9159663865546218,0.0840336134453781,1,0.5434514943376575
2026-04-01T16:58:23.796243+00:00,Qantas,9,184.54,10579.83,2,7,9.0,0.0,0,23.0,8.0,1,0.7777777777777778,0.2222222222222222,0,0.06267523945869308
2026-04-01T16:58:23.796243+00:00,Qatar Airways,22,222.45,10159.19,0,22,24.0,-2.0,0,14.0,4.0,1,1.0,0.0,0,0.07368178201582812
2026-04-01T16:58:23.796243+00:00,Singapore Airlines,21,232.99,9725.41,1,20,24.0,-3.0,0,23.0,7.0,1,0.9523809523809524,0.0476190476190476,0,0.2871317112384698
2026-04-01T16:58:23.796243+00:00,SpiceJet,11,174.1,6498.47,0,11,12.0,-1.0,0,4.0,2.0,1,1.0,0.0,0,0.21963634513132982
2026-04-01T16:58:23.796243+00:00,Thai Airways,23,96.26,4076.01,3,20,27.0,-4.0,0,0.0,0.0,0,0.8695652173913043,0.1304347826086956,0,0.01668410119312207
2026-04-01T16:58:23.796243+00:00,Turkish Airlines,107,194.8,8894.75,7,100,102.0,5.0,1,10.0,6.0,1,0.9345794392523364,0.0654205607476635,1,0.6679579397756132
2026-04-01T16:58:23.796243+00:00,United Airlines,440,207.26,9177.86,27,413,440.0,0.0,0,35.0,7.0,1,0.9386363636363636,0.0613636363636363,1,0.7120285388278066
2026-04-01T17:03:29.226479+00:00,ANA,20,204.91,8555.66,1,19,18.0,2.0,0,27.0,6.0,1,0.95,0.05,0,0.24605552648931345
2026-04-01T17:03:29.226479+00:00,Air France,91,184.45,8060.79,7,84,91.0,0.0,0,41.0,8.0,1,0.9230769230769232,0.0769230769230769,0,0.4129587746022608
2026-04-01T17:03:29.226479+00:00,Air India,56,191.47,8421.13,4,52,61.0,-5.0,1,40.0,6.0,1,0.9285714285714286,0.0714285714285714,0,0.39646545085316554
