ingestion_time_utc,mapped_airline,live_flights,avg_velocity,avg_altitude,on_ground_count,airborne_count,prev_live_flights,count_change,target_anomaly,total_route_flights,distinct_departure_hubs,has_aviationstack_context,airborne_ratio,on_ground_ratio
2026-04-01T17:03:29.226479+00:00,British Airways,85,194.54,8593.76,4,81,86.0,-1.0,0,22.0,9.0,1,0.9529411764705882,0.047058823529411764
2026-04-01T17:03:29.226479+00:00,Cathay Pacific,103,89.01,3185.9,10,93,105.0,-2.0,0,20.0,5.0,1,0.9029126213592233,0.0970873786407767
2026-04-01T17:03:29.226479+00:00,Delta Air Lines,495,194.92,8523.96,36,459,498.0,-3.0,0,63.0,6.0,1,0.9272727272727272,0.07272727272727272
2026-04-01T17:03:29.226479+00:00,Emirates,58,241.3,10315.07,1,57,57.0,1.0,0,36.0,8.0,1,0.9827586206896551,0.017241379310344827
2026-04-01T17:03:29.226479+00:00,Etihad Airways,15,224.02,9780.52,0,15,15.0,0.0,0,19.0,7.0,1,1.0,0.0
2026-04-01T17:03:29.226479+00:00,IndiGo,86,173.58,7232.85,10,76,92.0,-6.0,1,62.0,9.0,1,0.8837209302325582,0.11627906976744186
2026-04-01T17:03:29.226479+00:00,Japan Airlines,9,196.9,9673.59,1,8,9.0,0.0,0,23.0,8.0,1,0.8888888888888888,0.1111111111111111
2026-04-01T17:03:29.226479+00:00,KLM,83,184.7,7975.89,5,78,83.0,0.0,0,52.0,6.0,1,0.9397590361445783,0.060240963855421686
2026-04-01T17:03:29.226479+00:00,Lufthansa,119,180.72,7635.31,10,109,119.0,0.0,0,34.0,6.0,1,0.9159663865546218,0.08403361344537816
2026-04-01T17:03:29.226479+00:00,Qantas,10,173.36,9334.5,2,8,9.0,1.0,0,23.0,8.0,1,0.8,0.2
2026-04-01T17:03:29.226479+00:00,Qatar Airways,22,233.24,10287.69,0,22,22.0,0.0,0,14.0,4.0,1,1.0,0.0
2026-04-01T17:03:29.226479+00:00,Singapore Airlines,20,251.28,10141.46,0,20,21.0,-1.0,0,23.0,7.0,1,1.0,0.0
2026-04-01T17:03:29.226479+00:00,SpiceJet,11,171.32,7275.58,1,10,11.0,0.0,0,4.0,2.0,1,0.9090909090909091,0.09090909090909091
2026-04-01T17:03:29.226479+00:00,Thai Airways,25,96.87,3971.06,4,21,23.0,2.0,0,0.0,0.0,0,0.84,0.16
2026-04-01T17:03:29.226479+00:00,Turkish Airlines,112,195.05,8794.69,6,106,107.0,5.0,1,10.0,6.0,1,0.9464285714285714,0.05357142857142857
2026-04-01T17:03:29.226479+00:00,United Airlines,441,204.42,9142.36,31,410,440.0,1.0,0,35.0,7.0,1,0.9297052154195011,0.07029478458049887
2026-04-01T17:08:32.866092+00:00,ANA,16,205.47,9729.11,2,14,20.0,-4.0,0,27.0,6.0,1,0.875,0.125
2026-04-01T17:08:32.866092+00:00,Air France,92,185.34,7764.52,4,88,91.0,1.0,0,41.0,8.0,1,0.9565217391304348,0.043478260869565216
2026-04-01T17:08:32.866092+00:00,Air India,54,193.21,8480.3,4,50,56.0,-2.0,0,40.0,6.0,1,0.9259259259259259,0.07407407407407407
2026-04-01T17:08:32.866092+00:00,American Airlines,527,187.38,8595.9,61,466,528.0,-1.0,0,35.0,7.0,1,0.8842504743833017,0.1157495256166983
2026-04-01T17:08:32.866092+00:00,British Airways,83,195.29,8530.69,3,80,85.0,-2.0,0,22.0,9.0,1,0.963855421686747,0.03614457831325301
2026-04-01T17:08:32.866092+00:00,Cathay Pacific,99,92.15,3304.94,10,89,103.0,-4.0,0,20.0,5.0,1,0.898989898989899,0.10101010101010101
2026-04-01T17:08:32.866092+00:00,Delta Air Lines,505,194.88,8384.26,33,472,495.0,10.0,1,63.0,6.0,1,0.9346534653465347,0.06534653465346535
2026-04-01T17:08:32.866092+00:00,Emirates,55,240.04,10170.87,1,54,58.0,-3.0,0,36.0,8.0,1,0.9818181818181818,0.01818181818181818
2026-04-01T17:08:32.866092+00:00,Etihad Airways,15,221.24,9392.92,0,15,15.0,0.0,0,19.0,7.0,1,1.0,0.0
2026-04-01T17:08:32.866092+00:00,IndiGo,82,166.27,6972.09,10,72,86.0,-4.0,0,62.0,9.0,1,0.8780487804878049,0.12195121951219512
2026-04-01T17:08:32.866092+00:00,Japan Airlines,11,187.27,9729.05,2,9,9.0,2.0,0,23.0,8.0,1,0.8181818181818182,0.18181818181818182
2026-04-01T17:08:32.866092+00:00,KLM,84,184.09,7854.1,5,79,83.0,1.0,0,52.0,6.0,1,0.9404761904761905,0.05952380952380952
2026-04-01T17:08:32.866092+00:00,Lufthansa,122,178.87,7661.57,10,112,119.0,3.0,0,34.0,6.0,1,0.9180327868852459,0.08196721311475409
2026-04-01T17:08:32.866092+00:00,Qantas,10,211.67,9398.0,1,9,10.0,0.0,0,23.0,8.0,1,0.9,0.1
2026-04-01T17:08:32.866092+00:00,Qatar Airways,24,238.35,9542.15,0,24,22.0,2.0,0,14.0,4.0,1,1.0,0.0
2026-04-01T17:08:32.866092+00:00,Singapore Airlines,26,231.3,10174.61,2,24,20.0,6.0,1,23.0,7.0,1,0.9230769230769231,0.07692307692307693
2026-04-01T17:08:32.866092+00:00,SpiceJet,11,167.68,6088.38,0,11,11.0,0.0,0,4.0,2.0,1,1.0,0.0
2026-04-01T17:08:32.866092+00:00,Thai Airways,26,78.85,3450.27,2,24,25.0,1.0,0,0.0,0.0,0,0.9230769230769231,0.07692307692307693
2026-04-01T17:08:32.866092+00:00,Turkish Airlines,117,193.87,9107.23,8,109,112.0,5.0,1,10.0,6.0,1,0.9316239316239316,0.06837606837606838
2026-04-01T17:08:32.866092+00:00,United Airlines,453,201.0,8906.31,32,421,441.0,12.0,1,35.0,7.0,1,0.9293598233995585,0.0706401766004415
2026-04-01T17:13:36.447081+00:00,ANA,16,213.72,9325.86,1,15,16.0,0.0,0,27.0,6.0,1,0.9375,0.0625
2026-04-01T17:13:36.447081+00:00,Air France,92,183.98,7529.75,2,90,92.0,0.0,0,41.0,8.0,1,0.9782608695652174,0.021739130434782608
2026-04-01T17:13:36.447081+00:00,Air India,48,193.68,8251.27,3,45,54.0,-6.0,1,40.0,6.0,1,0.9375,0.0625
2026-04-01T17:13:36.447081+00:00,American Airlines,512,189.42,8463.29,53,459,527.0,-15.0,1,35.0,7.0,1,0.896484375,0.103515625
2026-04-01T17:13:36.447081+00:00,British Airways,84,197.9,8764.62,4,80,83.0,1.0,0,22.0,9.0,1,0.9523809523809523,0.047619047619047616
2026-04-01T17:13:36.447081+00:00,Cathay Pacific,98,89.93,3381.6,12,86,99.0,-1.0,0,20.0,5.0,1,0.8775510204081632,0.12244897959183673
2026-04-01T17:13:36.447081+00:00,Delta Air Lines,512,192.26,8491.66,41,471,505.0,7.0,1,63.0,6.0,1,0.919921875,0.080078125
2026-04-01T17:13:36.447081+00:00,Emirates,57,242.1,10220.33,1,56,55.0,2.0,0,36.0,8.0,1,0.9824561403508771,0.017543859649122806
2026-04-01T17:13:36.447081+00:00,Etihad Airways,16,234.44,10066.97,0,16,15.0,1.0,0,19.0,7.0,1,1.0,0.0
2026-04-01T17:13:36.447081+00:00,IndiGo,78,163.63,6672.73,9,69,82.0,-4.0,0,62.0,9.0,1,0.8846153846153846,0.11538461538461539
2026-04-01T17:13:36.447081+00:00,Japan Airlines,11,181.33,10932.8,3,8,11.0,0.0,0,23.0,8.0,1,0.7272727272727273,0.2727272727272727
2026-04-01T17:13:36.447081+00:00,KLM,83,174.12,7930.33,11,72,84.0,-1.0,0,52.0,6.0,1,0.8674698795180723,0.13253012048192772
2026-04-01T17:13:36.447081+00:00,Lufthansa,126,173.19,7703.54,16,110,122.0,4.0,0,34.0,6.0,1,0.873015873015873,0.12698412698412698
2026-04-01T17:13:36.447081+00:00,Qantas,12,203.65,6793.87,0,12,10.0,2.0,0,23.0,8.0,1,1.0,0.0
2026-04-01T17:13:36.447081+00:00,Qatar Airways,27,235.97,9248.14,0,27,24.0,3.0,0,14.0,4.0,1,1.0,0.0
2026-04-01T17:13:36.447081+00:00,Singapore Airlines,24,242.55,10229.02,1,23,26.0,-2.0,0,23.0,7.0,1,0.9583333333333334,0.041666666666666664
2026-04-01T17:13:36.447081+00:00,SpiceJet,9,165.35,6105.31,0,9,11.0,-2.0,0,4.0,2.0,1,1.0,0.0
2026-04-01T17:13:36.447081+00:00,Thai Airways,21,91.62,3810.0,3,18,26.0,-5.0,1,0.0,0.0,0,0.8571428571428571,0.14285714285714285
2026-04-01T17:13:36.447081+00:00,Turkish Airlines,120,201.9,9129.36,5,115,117.0,3.0,0,10.0,6.0,1,0.9583333333333334,0.041666666666666664
2026-04-01T17:13:36.447081+00:00,United Airlines,471,195.34,8805.97,44,427,453.0,18.0,1,35.0,7.0,1,0.9065817409766455,0.09341825902335456
2026-04-01T17:18:46.968873+00:00,ANA,14,225.38,9442.27,0,14,16.0,-2.0,0,27.0,6.0,1,1.0,0.0
2026-04-01T17:18:46.968873+00:00,Air France,94,176.6,7316.29,3,91,92.0,2.0,0,41.0,8.0,1,0.9680851063829787,0.031914893617021274
2026-04-01T17:18:46.968873+00:00,Air India,51,192.59,8298.18,3,48,48.0,3.0,0,40.0,6.0,1,0.9411764705882353,0.058823529411764705
2026-04-01T17:18:46.968873+00:00,American Airlines,514,190.86,8350.58,44,470,512.0,2.0,0,35.0,7.0,1,0.914396887159533,0.08560311284046693
2026-04-01T17:18:46.968873+00:00,British Airways,86,194.48,8674.95,5,81,84.0,2.0,0,22.0,9.0,1,0.9418604651162791,0.05813953488372093
2026-04-01T17:18:46.968873+00:00,Cathay Pacific,94,85.48,3178.44,9,85,98.0,-4.0,0,20.0,5.0,1,0.9042553191489362,0.09574468085106383
2026-04-01T17:18:46.968873+00:00,Delta Air Lines,506,194.75,8613.41,39,467,512.0,-6.0,1,63.0,6.0,1,0.9229249011857708,0.07707509881422925
2026-04-01T17:18:46.968873+00:00,Emirates,58,240.02,10352.18,2,56,57.0,1.0,0,36.0,8.0,1,0.9655172413793104,0.034482758620689655
2026-04-01T17:18:46.968873+00:00,Etihad Airways,14,235.19,10039.89,0,14,16.0,-2.0,0,19.0,7.0,1,1.0,0.0
2026-04-01T17:18:46.968873+00:00,IndiGo,73,175.28,6968.49,6,67,78.0,-5.0,1,62.0,9.0,1,0.9178082191780822,0.0821917808219178
2026-04-01T17:18:46.968873+00:00,Japan Airlines,11,199.83,8878.06,1,10,11.0,0.0,0,23.0,8.0,1,0.9090909090909091,0.09090909090909091
2026-04-01T17:18:46.968873+00:00,KLM,82,169.86,7719.5,12,70,83.0,-1.0,0,52.0,6.0,1,0.8536585365853658,0.14634146341463414
2026-04-01T17:18:46.968873+00:00,Lufthansa,122,178.44,7858.49,11,111,126.0,-4.0,0,34.0,6.0,1,0.9098360655737705,0.09016393442622951
2026-04-01T17:18:46.968873+00:00,Qantas,12,200.83,6198.87,0,12,12.0,0.0,0,23.0,8.0,1,1.0,0.0
2026-04-01T17:18:46.968873+00:00,Qatar Airways,28,233.68,9802.71,1,27,27.0,1.0,0,14.0,4.0,1,0.9642857142857143,0.03571428571428571
2026-04-01T17:18:46.968873+00:00,Singapore Airlines,25,233.97,10410.25,2,23,24.0,1.0,0,23.0,7.0,1,0.92,0.08
2026-04-01T17:18:46.968873+00:00,SpiceJet,10,163.76,6398.51,0,10,9.0,1.0,0,4.0,2.0,1,1.0,0.0
2026-04-01T17:18:46.968873+00:00,Thai Airways,17,113.94,4024.26,2,15,21.0,-4.0,0,0.0,0.0,0,0.8823529411764706,0.11764705882352941
2026-04-01T17:18:46.968873+00:00,Turkish Airlines,127,200.53,8977.93,6,121,120.0,7.0,1,10.0,6.0,1,0.952755905511811,0.047244094488188976
2026-04-01T17:18:46.968873+00:00,United Airlines,474,192.57,8766.04,50,424,471.0,3.0,0,35.0,7.0,1,0.8945147679324894,0.10548523206751055
2026-04-01T17:23:54.240464+00:00,ANA,13,223.73,10260.33,1,12,14.0,-1.0,0,27.0,6.0,1,0.9230769230769231,0.07692307692307693
