icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,mapped_airline
a43b85,DAL768,United States,1774544987.0,1774544987,-88.6676,35.7138,9829.8,False,253.44,84.06,-4.88,,10241.28,2035.0,False,0,Delta Air Lines
86dd2a,JAL77,Japan,1774544986.0,1774544986,139.8715,35.5343,1623.06,False,94.4,211.18,11.05,,1638.3,,False,0,Japan Airlines
4ba8c4,TKJ9NB,Turkey,1774544986.0,1774544986,12.6564,48.2461,10668.0,False,233.18,125.93,0.0,,10363.2,7647.0,False,0,Turkish Airlines
a885f4,UAL1999,United States,1774544986.0,1774544986,-78.5196,40.2046,9753.6,False,200.68,271.18,0.0,,9959.34,1760.0,False,0,United Airlines
4ba8d2,TKJ2VB,Turkey,1774544986.0,1774544987,39.26,39.9429,8702.04,False,206.33,88.86,-13.33,,8671.56,5151.0,False,0,Turkish Airlines
add3dc,AAL2247,United States,1774544986.0,1774544986,-117.3019,32.7606,1074.42,False,122.75,286.31,18.53,,1082.04,,False,0,American Airlines
a1574e,DAL636,United States,1774544986.0,1774544987,-96.2937,35.4227,9753.6,False,224.61,266.98,0.0,,10187.94,6665.0,False,0,Delta Air Lines
a55b50,AAL2106,United States,1774544986.0,1774544986,-112.0159,33.4409,342.9,False,69.45,90.0,-0.33,,320.04,2335.0,False,0,American Airlines
a55b3c,UAL241,United States,1774544868.0,1774544868,-95.3147,29.9935,53.34,False,78.71,270.0,-3.25,,144.78,1363.0,False,0,United Airlines
a3e5fa,DAL2492,United States,1774544986.0,1774544986,-96.3932,46.604,10058.4,False,287.77,113.49,0.0,,10066.02,,False,0,Delta Air Lines
a3970f,AAY2937,United States,1774544986.0,1774544986,-81.2051,29.4131,3192.78,False,138.37,166.02,-3.58,,3337.56,3521.0,False,0,American Airlines
a3d2e5,UAL2343,United States,1774544986.0,1774544986,-90.8107,40.755,10058.4,False,256.57,66.11,0.0,,10355.58,301.0,False,0,United Airlines
a03765,AAL76,United States,1774544986.0,1774544986,-118.1735,38.0861,10988.04,False,200.8,248.04,0.0,,11353.8,,False,0,American Airlines
a07dcd,UAL219,United States,1774544986.0,1774544986,-105.059,40.0605,10363.2,False,220.83,261.02,-0.33,,10736.58,1343.0,False,0,United Airlines
a01112,AAL3,United States,1774544986.0,1774544986,-80.1881,40.0625,9753.6,False,199.64,268.97,0.0,,9974.58,3344.0,False,0,American Airlines
a18ada,AAY2202,United States,1774544986.0,1774544986,-84.8444,40.5113,9753.6,False,203.4,348.18,0.0,,10027.92,,False,0,American Airlines
