ingestion_time_utc,mapped_airline,live_flights,avg_velocity,avg_altitude,on_ground_count,airborne_count,prev_live_flights,count_change,target_anomaly,departure_iata,route_flights,has_aviationstack_context,airborne_ratio,on_ground_ratio
2026-03-27T17:59:21.582426+00:00,Singapore Airlines,13,226.37,9748.52,1,12,13.0,0.0,0,SIN,13.0,1,0.9230769230769231,0.07692307692307693
2026-03-27T17:59:21.582426+00:00,SpiceJet,14,136.57,6237.61,2,12,14.0,0.0,0,BOM,2.0,1,0.8571428571428571,0.14285714285714285
2026-03-27T17:59:21.582426+00:00,SpiceJet,14,136.57,6237.61,2,12,14.0,0.0,0,DEL,2.0,1,0.8571428571428571,0.14285714285714285
2026-03-27T17:59:21.582426+00:00,Thai Airways,25,140.96,6778.68,4,21,25.0,0.0,0,,0.0,0,0.84,0.16
2026-03-27T17:59:21.582426+00:00,Turkish Airlines,95,191.17,8308.25,9,86,95.0,0.0,0,AMS,1.0,1,0.9052631578947369,0.09473684210526316
2026-03-27T17:59:21.582426+00:00,Turkish Airlines,95,191.17,8308.25,9,86,95.0,0.0,0,BKK,3.0,1,0.9052631578947369,0.09473684210526316
2026-03-27T17:59:21.582426+00:00,Turkish Airlines,95,191.17,8308.25,9,86,95.0,0.0,0,DEL,1.0,1,0.9052631578947369,0.09473684210526316
2026-03-27T17:59:21.582426+00:00,Turkish Airlines,95,191.17,8308.25,9,86,95.0,0.0,0,FRA,1.0,1,0.9052631578947369,0.09473684210526316
2026-03-27T17:59:21.582426+00:00,Turkish Airlines,95,191.17,8308.25,9,86,95.0,0.0,0,SIN,3.0,1,0.9052631578947369,0.09473684210526316
2026-03-27T17:59:21.582426+00:00,Turkish Airlines,95,191.17,8308.25,9,86,95.0,0.0,0,SYD,1.0,1,0.9052631578947369,0.09473684210526316
2026-03-27T17:59:21.582426+00:00,United Airlines,460,200.78,8885.28,35,425,460.0,0.0,0,AMS,1.0,1,0.9239130434782609,0.07608695652173914
2026-03-27T17:59:21.582426+00:00,United Airlines,460,200.78,8885.28,35,425,460.0,0.0,0,CDG,1.0,1,0.9239130434782609,0.07608695652173914
